Date,XAU_Close,XAU_Open,XAU_High,XAU_Low,S&P500,SLV,OIL,EURUSD,Predicted
2000-01-04,282.45,288.75,282.45,282.45,1399.4,5.375,25.55,1.0312,285.8825043802501
2000-01-05,281.0,281.5,281.0,281.0,1402.1,5.21,24.91,1.0316,281.2841196335834
2000-01-06,281.23,280.12,281.23,281.23,1403.5,5.167,24.78,1.0324,279.69418145209374
2000-01-07,281.75,281.15,281.75,281.75,1441.5,5.195,24.22,1.0292,280.85554967134163
2000-01-10,281.48,281.88,281.48,281.48,1457.6,5.19,24.67,1.0257,280.68311023404567
2000-01-11,283.38,281.48,283.38,283.38,1438.6,5.195,25.77,1.0335,280.78253242912905
2000-01-12,282.48,283.27,282.48,282.48,1432.2,5.143,26.28,1.0312,282.7187703956454
2000-01-13,284.25,282.6,284.25,284.25,1449.7,5.153,26.69,1.0254,281.7556464291542
2000-01-14,284.0,284.2,284.0,284.0,1465.2,5.15,28.02,1.0128,284.3406458109474
2000-01-17,285.55,284.1,285.55,285.55,1465.2,5.15,28.02,1.0118,283.92828960251114
2000-01-18,288.65,285.55,288.65,288.65,1455.1,5.165,28.85,1.0131,285.1704166991732
2000-01-19,289.52,288.77,289.52,289.52,1455.9,5.173,29.54,1.0122,288.46801516484277
2000-01-20,288.62,289.62,288.62,288.62,1445.6,5.257,29.66,1.0175,288.9797406239251
2000-01-21,289.1,288.6,289.1,289.1,1441.4,5.26,28.2,1.0091,288.83601686342627
2000-01-24,287.7,289.05,287.7,287.7,1401.5,5.293,27.83,1.0078,288.78989513008867
2000-01-25,285.85,287.6,285.85,285.85,1410.0,5.315,28.28,1.0006,287.30729423797254
2000-01-26,285.95,285.95,285.95,285.95,1404.1,5.283,27.84,1.0012,285.7870867660797
2000-01-27,286.9,286.2,286.9,286.9,1398.6,5.415,27.32,0.9885,285.61617843890826
2000-01-28,282.75,286.7,282.75,282.75,1360.2,5.336,27.22,0.975,287.25707211731674
2000-01-31,283.23,283.32,283.23,283.23,1394.5,5.321,27.64,0.9695,283.1716773407402
2000-02-01,282.62,283.27,282.62,282.62,1409.3,5.257,28.22,0.9724,283.46339211359094
2000-02-02,284.88,282.88,284.88,284.88,1409.1,5.244,27.55,0.9765,282.7490467248407
2000-02-03,287.4,285.0,287.4,287.4,1425.0,5.292,28.03,0.9903,284.70981799997804
2000-02-04,315.2,287.75,315.2,315.2,1424.4,5.576,28.82,0.9828,288.8877726188719
2000-02-07,301.8,310.0,301.8,301.8,1424.2,5.289,28.45,0.981,315.3272601964442
2000-02-08,299.0,302.25,299.0,299.0,1441.7,5.344,28.02,0.9858,301.7575009510569
2000-02-09,306.25,301.25,306.25,306.25,1411.7,5.434,28.77,0.994,299.0086554596365
2000-02-10,316.95,305.5,316.95,316.95,1416.8,5.429,29.43,0.9852,306.58468375218337
2000-02-11,311.2,316.0,311.2,311.2,1387.1,5.354,29.44,0.9869,317.2114493310508
2000-02-14,308.0,311.0,308.0,308.0,1389.9,5.274,30.25,0.9787,311.03615762649844
2000-02-15,302.0,308.4,302.0,302.0,1402.0,5.262,30.06,0.9814,308.53350812410275
2000-02-16,302.5,301.5,302.5,302.5,1387.7,5.309,30.05,0.9868,301.4824364985337
2000-02-17,301.25,302.5,301.25,301.25,1388.3,5.269,29.46,0.9879,301.7458766246819
2000-02-18,304.8,300.75,304.8,304.8,1346.1,5.287,29.51,0.9865,301.9307920157135
2000-02-21,305.5,304.5,305.5,305.5,1346.1,5.287,29.51,0.9874,304.6934857270979
2000-02-22,305.25,305.5,305.25,305.25,1352.2,5.297,29.62,1.004,305.4453396479143
2000-02-23,300.1,305.1,300.1,300.1,1360.7,5.283,29.39,1.003,305.3995119666711
2000-02-24,298.6,300.25,298.6,298.6,1353.4,5.19,29.97,0.9931,299.93657008493244
2000-02-25,292.6,298.5,292.6,292.6,1333.4,5.067,30.35,0.9745,298.9320805209042
2000-02-28,292.25,292.75,292.25,292.25,1348.0,5.11,30.13,0.9719,291.88289475111435
2000-02-29,292.12,291.88,292.12,292.12,1366.4,5.108,30.43,0.9647,291.62221609607445
2000-03-01,291.25,292.25,291.25,291.25,1379.2,5.133,31.77,0.9738,292.21770724558155
2000-03-02,288.2,290.0,288.2,288.2,1381.8,5.063,31.69,0.9644,291.0641416675522
2000-03-03,288.8,288.0,288.8,288.8,1409.2,5.153,31.51,0.9599,288.15957456350594
2000-03-06,287.9,289.0,287.9,287.9,1391.3,5.105,32.18,0.9594,288.3480111416799
2000-03-07,292.1,288.0,292.1,292.1,1355.6,5.12,34.13,0.9598,287.7042837035992
2000-03-08,288.6,292.4,288.6,288.6,1366.7,5.125,31.26,0.9608,291.8242436232063
2000-03-09,291.25,288.25,291.25,291.25,1401.7,5.14,31.69,0.9664,288.3294958178947
2000-03-10,289.0,291.5,289.0,289.0,1395.1,5.107,31.76,0.963,291.0611601391124
2000-03-13,290.38,288.88,290.38,290.38,1383.6,5.107,32.02,0.9647,288.79478708522055
2000-03-14,288.88,290.62,288.88,288.88,1359.2,5.132,31.69,0.9683,290.2067388766566
2000-03-15,288.88,288.88,288.88,288.88,1392.2,5.165,30.72,0.9675,289.002381693405
2000-03-16,286.5,289.0,286.5,286.5,1458.5,5.125,31.09,0.9715,289.1173132134248
2000-03-17,284.5,286.0,284.5,284.5,1464.5,5.13,30.91,0.9724,286.413855500428
2000-03-20,285.88,283.68,285.88,285.88,1456.6,5.068,29.43,0.9732,284.59270261425627
2000-03-21,289.88,286.23,289.88,289.88,1493.9,5.158,28.0,0.9641,286.37538314919004
2000-03-22,288.0,289.75,288.0,288.0,1500.6,5.165,27.46,0.9612,290.17727946287886
2000-03-23,285.5,288.1,285.5,285.5,1527.3,5.123,27.31,0.9718,288.2446211749531
2000-03-24,284.9,285.1,284.9,284.9,1527.5,5.148,28.02,0.9771,286.24159835857336
2000-03-27,280.2,285.15,280.2,280.2,1523.9,5.12,27.79,0.9667,284.98891655674805
2000-03-28,279.35,280.35,279.35,279.35,1507.7,5.103,27.09,0.9607,279.3820657827898
2000-03-29,276.25,279.55,276.25,276.25,1508.5,4.98,26.45,0.9516,279.7337497772109
2000-03-30,276.5,276.15,276.5,276.5,1487.9,5.026,26.7,0.9611,276.9444255210626
2000-03-31,278.95,276.75,278.95,278.95,1498.6,5.062,26.9,0.9562,277.1090312923967
2000-04-03,278.15,278.75,278.15,278.15,1506.0,5.074,26.43,0.955,278.6764459579934
2000-04-04,284.8,278.5,284.8,284.8,1494.7,5.182,25.45,0.9604,277.5902310503502
2000-04-05,281.5,284.5,281.5,281.5,1487.4,5.154,25.83,0.9623,284.6370637576296
2000-04-06,280.5,281.6,280.5,280.5,1501.3,5.149,25.69,0.9579,282.0224159959816
2000-04-07,280.2,280.25,280.2,280.2,1516.3,5.139,25.04,0.9549,280.79396894607754
2000-04-10,281.75,279.95,281.75,281.75,1504.5,5.185,23.85,0.9627,280.55029867603577
2000-04-11,281.62,281.62,281.62,281.62,1500.6,5.162,24.14,0.9591,281.6029683506395
2000-04-12,282.25,281.7,282.25,282.25,1467.2,5.165,25.41,0.9588,281.51781543856475
2000-04-13,281.8,282.05,281.8,281.8,1440.5,5.192,25.38,0.9525,282.32882893143994
2000-04-14,283.0,281.75,283.0,283.0,1356.6,5.192,25.57,0.9623,282.20319067957803
2000-04-17,281.38,283.77,281.38,281.38,1401.4,5.16,25.89,0.9524,282.4995654964322
2000-04-18,281.12,280.62,281.12,281.12,1441.6,5.157,26.11,0.9459,281.1595018872614
2000-04-19,280.77,281.27,280.77,280.77,1427.5,5.15,27.35,0.9405,281.43632681484684
2000-04-20,279.75,280.75,279.75,279.75,1434.5,5.017,25.88,0.9379,281.15951816215886
2000-04-21,280.0,280.0,280.0,280.0,1434.5,5.017,25.88,0.9383,279.6896782705268
2000-04-24,279.8,280.0,279.8,279.8,1429.9,4.97,26.04,0.9385,279.6974028027949
2000-04-25,278.25,279.75,278.25,278.25,1477.4,5.032,25.33,0.921,279.7387362130809
2000-04-26,275.65,278.15,275.65,275.65,1461.0,4.964,24.65,0.9238,278.0243290266593
2000-04-27,277.05,275.85,277.05,277.05,1464.9,5.015,25.42,0.91,275.4109992690371
2000-04-28,273.5,277.1,273.5,273.5,1452.4,5.015,25.74,0.9123,276.66972499451356
2000-05-01,273.62,273.88,273.62,273.62,1468.2,5.077,25.87,0.916,273.6729540241707
2000-05-02,275.75,273.75,275.75,275.75,1446.3,5.077,26.89,0.9101,273.4972721185938
2000-05-03,278.38,275.88,278.38,278.38,1415.1,5.077,26.75,0.8958,275.8271719565223
2000-05-04,280.12,278.88,280.12,280.12,1409.6,5.17,26.98,0.8909,278.1454755921596
2000-05-05,278.95,280.45,278.95,278.95,1432.6,5.053,27.29,0.8969,279.9880599568067
2000-05-08,276.62,279.02,276.62,276.62,1424.2,5.065,28.09,0.8975,278.86536850684035
2000-05-09,277.25,276.45,277.25,277.25,1412.1,5.085,28.65,0.9076,276.9751554705358
2000-05-10,277.75,277.25,277.75,277.75,1383.0,5.08,28.1,0.9067,277.2591885755198
2000-05-11,275.95,277.6,275.95,275.95,1407.8,5.06,29.11,0.9016,277.3832174487183
2000-05-12,276.15,276.0,276.15,276.15,1421.0,5.058,29.62,0.9199,276.31918438919587
2000-05-15,275.65,276.45,275.65,275.65,1452.4,5.06,29.92,0.9117,275.6922194163585
2000-05-16,275.55,275.65,275.55,275.55,1466.0,5.145,29.73,0.9004,275.4369629648377
2000-05-17,273.35,275.5,273.35,273.35,1447.8,5.04,29.32,0.8953,275.2827172839555
2000-05-18,273.35,273.5,273.35,273.35,1437.2,5.055,30.33,0.8946,272.9471028205552
2000-05-19,274.25,273.4,274.25,274.25,1407.0,5.03,29.89,0.8974,273.6760011276101
2000-05-22,275.75,274.1,275.75,275.75,1400.7,5.048,28.61,0.9029,274.3722840312619
2000-05-23,274.35,275.4,274.35,274.35,1373.9,5.048,28.78,0.9077,275.5374159141414
2000-05-24,273.55,274.1,273.55,273.55,1399.0,5.02,29.93,0.9032,274.299604063564
2000-05-25,270.25,273.45,270.25,270.25,1381.5,4.948,30.51,0.9127,273.1368833563954
2000-05-26,272.05,270.0,272.05,272.05,1378.0,4.963,30.0,0.9312,270.52937378213113
2000-05-29,272.15,272.25,272.15,272.15,1378.0,4.963,30.0,0.9266,271.819873487973
2000-05-30,272.95,273.25,272.95,272.95,1422.5,4.99,30.35,0.93,271.82797154047984
2000-05-31,272.15,272.95,272.15,272.15,1420.6,4.987,29.01,0.9379,272.9297714433577
2000-06-01,272.8,272.0,272.8,272.8,1448.8,4.987,30.14,0.9315,271.8642542594645
2000-06-02,281.38,272.98,281.38,281.38,1477.3,5.072,30.35,0.9465,273.1649235392432
2000-06-05,285.48,280.38,285.48,285.48,1467.6,5.097,29.7,0.948,281.82065538277334
2000-06-06,289.3,285.7,289.3,289.3,1457.8,5.132,29.75,0.9546,285.7330987585151
2000-06-07,287.25,289.25,287.25,287.25,1471.4,5.142,29.95,0.962,289.44690344656357
2000-06-08,284.45,286.75,284.45,284.45,1461.7,5.119,29.78,0.9562,287.09052438455967
2000-06-09,283.85,284.35,283.85,283.85,1457.0,5.084,30.2,0.9532,285.93264866492643
2000-06-12,286.75,283.85,286.75,286.75,1446.0,5.064,31.74,0.9535,283.97071804599597
2000-06-13,285.75,286.5,285.75,285.75,1469.4,5.047,32.56,0.9592,286.7135117950135
2000-06-14,291.75,286.15,291.75,291.75,1470.5,5.112,32.85,0.958,285.7626298807114
2000-06-15,289.85,292.45,289.85,289.85,1478.7,5.099,32.95,0.9544,292.0723759788961
2000-06-16,289.25,289.55,289.25,289.25,1464.5,5.107,32.33,0.9648,290.0914410675293
2000-06-19,286.25,288.4,286.25,286.25,1486.0,5.065,31.69,0.9569,289.0990654817278
2000-06-20,286.2,286.15,286.2,286.2,1476.0,5.057,33.05,0.9545,286.74708833532003
2000-06-21,286.2,286.35,286.2,286.2,1479.1,4.992,31.37,0.9444,285.71073410842513
2000-06-22,285.65,286.25,285.65,285.65,1452.2,5.0,32.19,0.9359,285.4876964622353
2000-06-23,283.2,285.6,283.2,283.2,1441.5,4.98,32.25,0.936,286.2965885781418
2000-06-26,284.0,282.9,284.0,284.0,1455.3,5.007,31.63,0.937,283.1018762798029
2000-06-27,286.05,284.45,286.05,286.05,1450.5,4.98,32.06,0.946,283.9494184830189
2000-06-28,292.8,286.05,292.8,292.8,1454.8,5.009,31.9,0.9417,286.1901178950721
2000-06-29,289.15,291.75,289.15,289.15,1442.4,5.058,32.72,0.952,292.6407851665831
2000-06-30,290.1,289.25,290.1,290.1,1454.6,5.083,32.5,0.9526,289.4724578872688
2000-07-03,287.9,289.65,287.9,287.9,1469.5,5.083,32.5,0.9504,289.38977858952353
2000-07-04,286.75,287.8,286.75,286.75,1469.5,5.083,32.5,0.9509,287.28256602262684
2000-07-05,284.15,286.85,284.15,284.15,1446.2,5.04,30.67,0.9531,286.84653313897786
2000-07-06,283.5,283.85,283.5,283.5,1456.7,5.053,29.99,0.9507,283.9690951799352
2000-07-07,283.65,283.6,283.65,283.65,1478.9,5.033,30.28,0.9484,283.46055582342433
2000-07-10,283.95,283.6,283.95,283.95,1475.6,5.053,29.69,0.9553,283.20639087198117
2000-07-11,282.5,284.05,282.5,282.5,1480.9,5.01,29.7,0.9524,283.75736164713254
2000-07-12,280.75,282.65,280.75,280.75,1492.9,5.023,30.32,0.9423,282.2334276541504
2000-07-13,280.25,280.65,280.25,280.25,1495.8,5.03,31.47,0.9372,280.486891998531
2000-07-14,281.35,280.55,281.35,281.35,1510.0,5.05,31.4,0.9383,280.0681784969239
2000-07-17,283.55,281.15,283.55,283.55,1510.5,5.065,30.83,0.9366,281.15007629389476
2000-07-18,282.65,283.55,282.65,282.65,1493.7,5.068,31.94,0.9243,283.38074783894564
2000-07-19,279.15,282.6,279.15,279.15,1482.0,5.028,31.42,0.9244,282.76986683816114
2000-07-20,280.25,279.05,280.25,280.25,1495.6,5.04,30.93,0.933,279.37941910497557
2000-07-21,280.35,280.5,280.35,280.35,1480.2,4.97,28.56,0.937,280.1655549068338
2000-07-24,279.25,280.05,279.25,279.25,1464.3,4.988,28.02,0.9338,280.4415300471755
2000-07-25,279.15,279.25,279.15,279.15,1474.5,5.033,27.95,0.9384,279.73423843029684
2000-07-26,279.75,279.3,279.75,279.75,1452.4,4.99,27.81,0.9433,279.43617850238377
2000-07-27,278.5,279.95,278.5,278.5,1449.6,5.005,28.02,0.9319,279.98730260108084
2000-07-28,278.4,278.55,278.4,278.4,1419.9,5.055,28.18,0.9234,279.2234000331523
2000-07-31,277.25,278.15,277.25,277.25,1430.8,5.091,27.43,0.9263,278.4868014563909
2000-08-01,277.35,277.55,277.35,277.35,1438.1,5.051,27.79,0.9142,276.44083201544095
