Date,XAU_Close,XAU_Open,XAU_High,XAU_Low,S&P500,SLV,OIL,EURUSD
10/12/2022,1674.6,1664.16,1678.24,1661.49,3577.03,19.032,87.27,0.9705
10/11/2022,1665.31,1668.4,1684.44,1660.45,3588.84,19.487,89.35,0.9703
10/10/2022,1667.96,1696.8,1700.33,1665.3,3612.39,19.615,91.13,0.97
10/07/2022,1694.52,1711.1,1715.4,1690.35,3639.66,20.255,92.64,0.9741
10/06/2022,1710.85,1716.06,1726.09,1706.53,3744.52,20.66,88.45,0.9788
10/05/2022,1715.81,1726.42,1728.1,1700.15,3783.28,20.544,87.76,0.9882
10/04/2022,1726.24,1699.4,1729.73,1694.73,3790.93,21.099,86.52,0.9983
10/03/2022,1699.22,1661.3,1701.8,1659.1,3678.43,20.589,83.63,0.9824
09/30/2022,1659.67,1661.13,1675.57,1658.93,3585.62,19.039,79.49,0.9799
09/29/2022,1660.29,1659.88,1665.12,1641.05,3640.47,18.712,81.23,0.9814
09/28/2022,1659.44,1629.26,1663.17,1614.35,3719.04,18.796,82.15,0.9734
09/27/2022,1628.8,1621.99,1642.94,1621.77,3647.29,18.302,78.5,0.9592
09/26/2022,1621.57,1645.4,1650.02,1620.8,3655.04,18.453,76.71,0.9606
09/23/2022,1643.09,1671.55,1676.59,1639.59,3693.23,18.881,78.74,0.969
09/22/2022,1670.53,1675.06,1685.49,1655.53,3757.99,19.587,83.49,0.9836
09/21/2022,1673.74,1663.67,1688.15,1654.15,3789.93,19.447,82.94,0.9837
09/20/2022,1663.11,1675.47,1679.34,1659.6,3855.93,19.146,84.45,0.997
09/19/2022,1675.78,1675.44,1680.16,1659.67,3899.89,19.319,85.73,1.0022
09/16/2022,1674.94,1664.27,1680.69,1653.85,3873.33,19.341,85.11,1.0015
09/15/2022,1663.74,1696.06,1698.62,1660.04,3901.35,19.227,85.1,0.9999
09/14/2022,1695.8,1701.86,1707.49,1693.26,3946.01,19.525,88.48,0.9977
09/13/2022,1701.55,1724.75,1732.34,1696.7,3932.69,19.449,87.31,0.997
09/12/2022,1724.07,1717.05,1735.37,1711.97,4110.41,19.816,87.78,1.0119
09/09/2022,1716.05,1708.84,1729.94,1708.22,4067.36,18.725,86.79,1.0039
09/08/2022,1707.28,1718.4,1728.8,1703.5,4006.18,18.402,82.98,0.9994
09/07/2022,1717.69,1701.61,1719.82,1690.9,3979.87,18.22,81.94,0.9999
09/06/2022,1701.15,1710.56,1727.24,1699.3,3908.19,17.868,86.88,0.9902
09/05/2022,1710.21,1712.99,1716.34,1707.47,,18.087,88.96,0.9926
09/02/2022,1711.44,1696.35,1718.31,1694.64,3924.26,17.852,86.87,0.9951
09/01/2022,1696.09,1711.09,1711.81,1688.35,3966.85,17.632,86.61,0.9944
08/31/2022,1710.7,1723.83,1726.86,1709.1,3955,17.849,89.55,1.0057
08/30/2022,1723.55,1738.36,1740.93,1720.85,3986.16,18.244,91.64,1.0012
08/29/2022,1737.82,1736.19,1745.63,1720.08,4030.61,18.602,97.01,0.9995
08/26/2022,1736.86,1758.55,1759.31,1733.83,4057.66,18.792,93.06,0.9961
08/25/2022,1758.44,1751.55,1765.93,1749.71,4199.12,19.147,92.52,0.9974
08/24/2022,1750.89,1748.55,1755.88,1742.29,4140.77,18.942,94.89,0.9965
08/23/2022,1747.67,1736.4,1754.28,1730.52,4128.73,19.064,93.74,0.9967
08/22/2022,1735.7,1747.05,1749.31,1727.51,4137.99,18.918,90.23,0.9941
08/19/2022,1747.83,1759.3,1759.88,1745.19,4228.48,19.114,90.77,1.0034
08/18/2022,1758.2,1761.63,1772.59,1755.37,4283.74,19.508,90.5,1.0088
08/17/2022,1761.05,1775.98,1782.63,1759.58,4274.04,19.776,88.11,1.018
08/16/2022,1775.54,1779.74,1783.37,1771.33,4305.2,20.128,86.53,1.017
08/15/2022,1779.36,1802.05,1802.53,1772.75,4297.14,20.317,89.41,1.016
08/12/2022,1801.76,1790.06,1802.86,1784.52,4280.15,20.743,92.09,1.0258
08/11/2022,1789.45,1792.39,1799.4,1783.24,4207.27,20.394,94.34,1.0317
08/10/2022,1792.13,1794.21,1807.9,1787.32,4210.24,20.79,91.93,1.0297
08/09/2022,1794.08,1789.21,1800.45,1782.85,4122.47,20.531,90.5,1.0211
08/08/2022,1788.52,1773.57,1790.26,1770.94,4140.06,20.664,90.76,1.0195
08/05/2022,1774.15,1791.16,1795.29,1764.88,4145.19,19.892,89.01,1.0181
08/04/2022,1790.97,1765.34,1795.29,1763,4151.94,20.173,88.54,1.0243
08/03/2022,1764.9,1760.53,1772.9,1754.33,4155.17,19.947,90.66,1.0164
08/02/2022,1759.75,1772.23,1788.24,1759.86,4091.19,20.189,94.42,1.0164
08/01/2022,1771.73,1765.05,1775.22,1758.05,4118.63,20.412,93.89,1.0261
07/29/2022,1765.22,1755.81,1768.17,1752.19,4130.29,20.247,98.62,1.0218
07/28/2022,1755.11,1734.61,1757.43,1733.59,4072.43,19.918,96.42,1.0196
07/27/2022,1733.89,1717.41,1740.6,1711.46,4023.61,18.6,97.26,1.0202
07/26/2022,1717,1719.69,1728.36,1713.2,3921.05,18.535,94.98,1.0114
07/25/2022,1718.78,1728.15,1736.43,1714.57,3966.84,18.328,96.7,1.022
07/22/2022,1726.46,1718.61,1739.28,1712.93,3961.63,18.617,94.7,1.021
07/21/2022,1718.49,1696.73,1720.69,1680.78,3998.95,18.719,96.35,1.0228
07/20/2022,1696.43,1711.3,1714.94,1692.53,3959.9,18.668,102.26,1.0177
07/19/2022,1711.07,1709.27,1718.64,1704.96,3936.69,18.713,104.22,1.0224
07/18/2022,1709.01,1707.94,1724.05,1705.89,3830.85,18.84,102.6,1.0141
07/15/2022,1706.78,1709.81,1716.92,1698.82,3863.16,18.594,97.59,1.0087
07/14/2022,1709.45,1735.7,1736.94,1697.48,3790.38,18.225,95.78,1.0016
07/13/2022,1735.23,1726.17,1745.54,1707.38,3801.78,19.194,96.3,1.006
07/12/2022,1725.81,1733.99,1743.49,1722.93,3818.8,18.958,95.84,1.0036
